the	ð ə
convenience	k ə n v iː n ɪ ə n s
returning	ɹ ᵻ t ɜː n ɪ ŋ
ralph	ɹ æ l f
opposition	ɑː p ə z ɪ ʃ ə n
container	k ə n t eɪ n ɚ
yr	ɚ
defendant	d ᵻ f ɛ n d ə n t
warner	w ɔːɹ n ɚ
confirmation	k ɑː n f ɚ m eɪ ʃ ə n
app	æ p
embedded	ɛ m b ɛ d ᵻ d
inkjet	ɪ ŋ k dʒ ɛ t
supervisor	s uː p ɚ v aɪ z ɚ
wizard	w ɪ z ɚ d
corps	k ɔːɹ
actors	æ k t ɚ z
liver	l ɪ v ɚ
peripherals	p ɚ ɹ ɪ f ɚ ɹ əl z
liable	l aɪ ə b əl
brochure	b ɹ oʊ ʃ ʊɹ r
morris	m ɔː ɹ ɪ s
bestsellers	b ɛ s t s ɛ l ɚ z
petition	p ə t ɪ ʃ ə n
eminem	ɛ m aɪ n ə m
recall	ɹ iː k ɔː l
antenna	æ n t ɛ n ə
picked	p ɪ k t
assumed	ɐ s uː m d
departure	d ᵻ p ɑːɹ tʃ ɚ
minneapolis	m ɪ n iː æ p ə l ɪ s
belief	b ᵻ l iː f
killing	k ɪ l ɪ ŋ
bikini	b ɪ k iː n i
memphis	m ɛ m f ɪ s
shoulder	ʃ oʊ l d ɚ
decor	d eɪ k ɔːɹ
lookup	l ʊ k ʌ p
texts	t ɛ k s t s
harvard	h ɑːɹ v ɚ d
brokers	b ɹ oʊ k ɚ z
roy	ɹ ɔɪ
ion	aɪ ɑː n
diameter	d aɪ æ m ɪ ɾ ɚ
ottawa	ɑː ɾ ɐ w ə
doll	d ɑː l
ic	aɪ k
podcast	p ɑː d k æ s t
seasons	s iː z ə n z
peru	p ɚ ɹ uː
interactions	ɪ n t ɚ ɹ æ k ʃ ə n z
refine	ɹ ᵻ f aɪ n
bidder	b ɪ d ɚ
singer	s ɪ ŋ ɚ
evans	ɛ v ə n z
herald	h ɛ ɹ əl d
literacy	l ɪ ɾ ɚ ɹ ə s i
fails	f eɪ l z
aging	eɪ dʒ ɪ ŋ
nike	n aɪ k
intervention	ɪ n t ɚ v ɛ n ʃ ə n
fed	f ɛ d
plugin	p l ʌ ɡ ɪ n
attraction	ɐ t ɹ æ k ʃ ə n
diving	d aɪ v ɪ ŋ
invite	ɪ n v aɪ t
modification	m ɑː d ɪ f ɪ k eɪ ʃ ə n
alice	æ l ɪ s
latinas	l æ t iː n ə z
suppose	s ə p oʊ z
customized	k ʌ s t ə m aɪ z d
reed	ɹ iː d
involve	ɪ n v ɑː l v
moderate	m ɑː d ɚ ɹ ə t
terror	t ɛ ɹ ɚ
younger	j ʌ ŋ ɡ ɚ
thirty	θ ɜː ɾ i
mice	m aɪ s
opposite	ɑː p ə z ɪ t
understood	ʌ n d ɚ s t ʊ d
rapidly	ɹ æ p ɪ d l i
dealtime	d ɛ l t aɪ m
ban	b æ n
temp	t ɛ m p
intro	ɪ n t ɹ oʊ
mercedes	m ɜː s eɪ d iː z
zus	z ʌ s
assurance	ə ʃ ʊɹ ɹ ə n s
clerk	k l ɜː k
happening	h æ p ə n ɪ ŋ
vast	v æ s t
mills	m ɪ l z
outline	aʊ t l aɪ n
amendments	ɐ m ɛ n d m ə n t s
tramadol	t ɹ æ m ɐ d ɑː l
holland	h ɑː l ə n d
receives	ɹ ᵻ s iː v z
jeans	dʒ iː n z
metropolitan	m ɛ t ɹ ə p ɑː l ɪ t ə n
compilation	k ɑː m p ɪ l eɪ ʃ ə n
verification	v ɛ ɹ ɪ f ɪ k eɪ ʃ ə n
fonts	f ɔ n t s
ent	ɛ n t
odd	ɑː d
wrap	ɹ æ p
refers	ɹ ᵻ f ɜː z
mood	m uː d
favor	f eɪ v ɚ
veterans	v ɛ ɾ ɚ ɹ ə n z
quiz	k w ɪ z
mx	ɛ m ɛ k s
sigma	s ɪ ɡ m ə
gr	dʒ iː ɑːɹ
attractive	ɐ t ɹ æ k t ɪ v
xhtml	ɛ k s eɪ tʃ t iː ɛ m ɛ l
occasion	ə k eɪ ʒ ə n
recordings	ɹ ᵻ k ɔːɹ d ɪ ŋ z
jefferson	dʒ ɛ f ɚ s ə n
victim	v ɪ k t ɪ m
demands	d ᵻ m æ n d z
sleeping	s l iː p ɪ ŋ
careful	k ɛɹ f əl
ext	ɛ k s t
beam	b iː m
gardening	ɡ ɑːɹ d ə n ɪ ŋ
obligations	ɑː b l ɪ ɡ eɪ ʃ ə n z
arrive	ɚ ɹ aɪ v
orchestra	ɔːɹ k ᵻ s t ɹ ə
sunset	s ʌ n s ɛ t
tracked	t ɹ æ k t
moreover	m ɔː ɹ oʊ v ɚ
minimal	m ɪ n ɪ m əl
polyphonic	p ɑː l ɪ f ɑː n ɪ k
lottery	l ɑː ɾ ɚ ɹ i
tops	t ɑː p s
framed	f ɹ eɪ m d
aside	ɐ s aɪ d
outsourcing	aʊ t s ɔːɹ s ɪ ŋ
licence	l aɪ s ə n s
adjustable	ɐ dʒ ʌ s t ə b əl
allocation	æ l ə k eɪ ʃ ə n
michelle	m ɪ ʃ ɛ l
essay	ɛ s eɪ
discipline	d ɪ s ɪ p l ɪ n
amy	eɪ m i
ts	t iː ɛ s
demonstrated	d ɛ m ə n s t ɹ eɪ ɾ ᵻ d
dialogue	d aɪə l ɑː ɡ
identifying	aɪ d ɛ n t ᵻ f aɪ ɪ ŋ
alphabetical	æ l f ə b ɛ ɾ ɪ k əl
camps	k æ m p s
declared	d ᵻ k l ɛɹ d
dispatched	d ɪ s p æ tʃ t
aaron	ɛ ɹ ə n
handheld	h æ n d h ɛ l d
trace	t ɹ eɪ s
disposal	d ɪ s p oʊ z əl
shut	ʃ ʌ t
florists	f l ɔː ɹ ɪ s t s
packs	p æ k s
ge	dʒ iː
installing	ɪ n s t ɔː l ɪ ŋ
switches	s w ɪ tʃ ᵻ z
romania	ɹ oʊ m eɪ n iə
voluntary	v ɑː l ə n t ɚ ɹ i
ncaa	ɛ ŋ k ɑː
thou	ð aʊ
consult	k ə n s ʌ l t
phd	p iː eɪ tʃ d iː
greatly	ɡ ɹ eɪ t l i
blogging	b l ɑː ɡ ɪ ŋ
mask	m æ s k
cycling	s aɪ k l ɪ ŋ
midnight	m ɪ d n aɪ t
ng	ɛ n dʒ iː
commonly	k ɑː m ə n l i
pe	p iː
photographer	f ə t ɑː ɡ ɹ ə f ɚ
inform	ɪ n f ɔːɹ m
turkish	t ɜː k ɪ ʃ
coal	k oʊ l
cry	k ɹ aɪ
messaging	m ɛ s ɪ dʒ ɪ ŋ
pentium	p ɛ n t iə m
quantum	k w ɔ n t ə m
murray	m ɜː ɹ eɪ
intent	ɪ n t ɛ n t
tt	t iː t iː
zoo	z uː
largely	l ɑːɹ dʒ l i
pleasant	p l ɛ z ə n t
announce	ɐ n aʊ n s
constructed	k ə n s t ɹ ʌ k t ᵻ d
additions	ɐ d ɪ ʃ ə n z
requiring	ɹ ᵻ k w aɪɚ ɹ ɪ ŋ
spoke	s p oʊ k
aka	æ k ɐ
arrow	æ ɹ oʊ
engagement	ɛ ŋ ɡ eɪ dʒ m ə n t
sampling	s æ m p l ɪ ŋ
rough	ɹ ʌ f
weird	w ɪɹ d
tee	t iː
refinance	ɹ ᵻ f aɪ n æ n s
lion	l aɪə n
inspired	ɪ n s p aɪɚ d
holes	h oʊ l z
weddings	w ɛ d ɪ ŋ z
blade	b l eɪ d
suddenly	s ʌ d ə n l i
oxygen	ɑː k s ɪ dʒ ə n
cookie	k ʊ k i
meals	m iː l z
canyon	k æ n ɪ ə n
goto	ɡ oʊ ɾ uː
meters	m iː ɾ ɚ z
merely	m ɪɹ l i
calendars	k æ l ə n d ɚ z
arrangement	ɚ ɹ eɪ n dʒ m ə n t
conclusions	k ə ŋ k l uː ʒ ə n z
passes	p æ s ᵻ z
bibliography	b ɪ b l ɪ ɑː ɡ ɹ ə f i
pointer	p ɔɪ n t ɚ
compatibility	k ə m p æ ɾ ə b ɪ l ᵻ ɾ i
stretch	s t ɹ ɛ tʃ
durham	d ʌ ɹ ə m
furthermore	f ɜː ð ɚ m ɔːɹ
permits	p ɜː m ɪ t s
cooperative	k oʊ ɑː p ɚ ɹ ə t ɪ v
muslim	m ʊ z l ɪ m
xl	ɛ k s ɛ l
neil	n iː l
sleeve	s l iː v
netscape	n ɛ t s k eɪ p
cleaner	k l iː n ɚ
cricket	k ɹ ɪ k ɪ t
beef	b iː f
feeding	f iː d ɪ ŋ
stroke	s t ɹ oʊ k
township	t aʊ n ʃ ɪ p
rankings	ɹ æ ŋ k ɪ ŋ z
measuring	m ɛ ʒ ɚ ɹ ɪ ŋ
cad	k æ d
hats	h æ t s
robin	ɹ ɑː b ɪ n
robinson	ɹ ɑː b ɪ n s ə n
jacksonville	dʒ æ k s ə n v ɪ l
strap	s t ɹ æ p
headquarters	h ɛ d k w ɔːɹ ɾ ɚ z
sharon	ʃ æ ɹ ə n
crowd	k ɹ aʊ d
tcp	t iː s iː p iː
transfers	t ɹ æ n s f ɜː z
surf	s ɜː f
olympic	ə l ɪ m p ɪ k
transformation	t ɹ æ n s f ɔːɹ m eɪ ʃ ə n
remained	ɹ ᵻ m eɪ n d
attachments	ɐ t æ tʃ m ə n t s
dv	d iː v iː
dir	d aɪɚ
entities	ɛ n t ᵻ ɾ i z
customs	k ʌ s t ə m z
administrators	ɐ d m ɪ n ɪ s t ɹ eɪ ɾ ɚ z
personality	p ɜː s ə n æ l ᵻ ɾ i
rainbow	ɹ eɪ n b oʊ
hook	h ʊ k
roulette	ɹ uː l ɛ t
decline	d ᵻ k l aɪ n
gloves	ɡ l ʌ v z
israeli	ɪ z ɹ eɪ l i
medicare	m ɛ d ɪ k ɛɹ
cord	k ɔːɹ d
skiing	s k iː ɪ ŋ
cloud	k l aʊ d
facilitate	f ə s ɪ l ᵻ t eɪ t
subscriber	s ə b s k ɹ aɪ b ɚ
valve	v æ l v
val	v æ l
hewlett	h j uː l ɪ t
explains	ɛ k s p l eɪ n z
proceed	p ɹ ə s iː d
flickr	f l ɪ k ɚ
feelings	f iː l ɪ ŋ z
knife	n aɪ f
jamaica	dʒ ɐ m eɪ k ə
priorities	p ɹ aɪ ɔː ɹ ᵻ ɾ i z
shelf	ʃ ɛ l f
bookstore	b ʊ k s t ɔːɹ
timing	t aɪ m ɪ ŋ
liked	l aɪ k t
parenting	p ɛ ɹ ə n t ɪ ŋ
adopt	ɐ d ɑː p t
denied	d ᵻ n aɪ d
fotos	f oʊ ɾ oʊ z
incredible	ɪ ŋ k ɹ ɛ d ɪ b əl
britney	b ɹ ɪ t n i
freeware	f ɹ iː w ɛɹ
donation	d oʊ n eɪ ʃ ə n
outer	aʊ ɾ ɚ
crop	k ɹ ɑː p
deaths	d ɛ θ s
rivers	ɹ ɪ v ɚ z
commonwealth	k ɑː m ə n w ɛ l θ
pharmaceutical	f ɑːɹ m ɐ s uː ɾ ɪ k əl
manhattan	m æ n h æ ʔ n̩
tales	t eɪ l z
katrina	k ɐ t ɹ iː n ə
workforce	w ɜː k f ɔːɹ s
islam	ɪ s l ɑː m
nodes	n oʊ d z
tu	t uː
fy	f aɪ
thumbs	θ ʌ m z
seeds	s iː d z
cited	s aɪ ɾ ᵻ d
lite	l aɪ t
ghz	ɡ ɪ ɡ ə h ɜː t s
hub	h ʌ b
targeted	t ɑːɹ ɡ ɪ ɾ ᵻ d
organizational	ɔːɹ ɡ ɐ n ᵻ z eɪ ʃ ə n əl
skype	s k aɪ p
realized	ɹ iː ə l aɪ z d
twelve	t w ɛ l v
founder	f aʊ n d ɚ
decade	d ɛ k eɪ d
gamecube	ɡ eɪ m k j uː b
rr	ɑːɹ ɹ ɑːɹ
dispute	d ɪ s p j uː t
portuguese	p ɔːɹ tʃ ə ɡ iː z
tired	t aɪɚ d
titten	t ɪ ʔ n̩
adverse	æ d v ɜː s
everywhere	ɛ v ɹ ɪ w ɛɹ
excerpt	ɛ k s ɜː p t
eng	ɛ ŋ
steam	s t iː m
discharge	d ɪ s tʃ ɑːɹ dʒ
ef	ɛ f
drinks	d ɹ ɪ ŋ k s
ace	eɪ s
voices	v ɔɪ s ᵻ z
acute	ɐ k j uː t
halloween	h æ l oʊ iː n
climbing	k l aɪ m ɪ ŋ
stood	s t ʊ d
sing	s ɪ ŋ
tons	t ʌ n z
perfume	p ɜː f j uː m
carol	k æ ɹ əl
honest	ɑː n ɪ s t
albany	ɔː l b ə n i
hazardous	h æ z ɚ d ə s
restore	ɹ ᵻ s t ɔːɹ
stack	s t æ k
methodology	m ɛ θ ə d ɑː l ə dʒ i
somebody	s ʌ m b ɑː d i
sue	s uː
ep	ɛ p
housewares	h aʊ s w ɛɹ z
reputation	ɹ ɛ p j uː t eɪ ʃ ə n
resistant	ɹ ᵻ s ɪ s t ə n t
democrats	d ɛ m ə k ɹ æ t s
recycling	ɹ ᵻ s aɪ k l ɪ ŋ
hang	h æ ŋ
gbp	dʒ iː b iː p iː
curve	k ɜː v
creator	k ɹ iː eɪ ɾ ɚ
amber	æ m b ɚ
qualifications	k w ɔ l ɪ f ɪ k eɪ ʃ ə n z
museums	m j uː z iə m z
coding	k oʊ d ɪ ŋ
slideshow	s l aɪ d ʃ oʊ
tracker	t ɹ æ k ɚ
variation	v ɛ ɹ ɪ eɪ ʃ ə n
passage	p æ s ɪ dʒ
transferred	t ɹ æ n s f ɜː d
trunk	t ɹ ʌ ŋ k
hiking	h aɪ k ɪ ŋ
lb	ɛ l b iː
pierre	p ɪ ɛɹ
jelsoft	dʒ ɛ l s ɔ f t
headset	h ɛ d s ɛ t
photograph	f oʊ ɾ ə ɡ ɹ æ f
oakland	oʊ k l ə n d
colombia	k ə l ʌ m b iə
waves	w eɪ v z
camel	k æ m əl
distributor	d ɪ s t ɹ ɪ b j uː ɾ ɚ
lamps	l æ m p s
underlying	ʌ n d ɚ l aɪ ɪ ŋ
hood	h ʊ d
wrestling	ɹ ɛ s əl ɪ ŋ
suicide	s uː ɪ s aɪ d
archived	ɑːɹ k aɪ v d
photoshop	f oʊ ɾ oʊ ʃ ɑː p
jp	dʒ eɪ p iː
chi	k aɪ
bt	b iː t iː
arabia	ɚ ɹ eɪ b iə
gathering	ɡ æ ð ɚ ɹ ɪ ŋ
projection	p ɹ ə dʒ ɛ k ʃ ə n
juice	dʒ uː s
chase	tʃ eɪ s
mathematical	m æ θ ɪ m æ ɾ ɪ k əl
logical	l ɑː dʒ ɪ k əl
sauce	s ɔː s
fame	f eɪ m
extract	ɛ k s t ɹ æ k t
specialized	s p ɛ ʃ əl aɪ z d
diagnostic	d aɪ ə ɡ n ɑː s t ɪ k
panama	p æ n ə m ɑː
indianapolis	ɪ n d iə n æ p ə l ɪ s
af	æ f
payable	p eɪ ə b əl
corporations	k ɔːɹ p ɚ ɹ eɪ ʃ ə n z
courtesy	k ɜː ɾ ə s i
criticism	k ɹ ɪ ɾ ɪ s ɪ z ə m
automobile	ɔː ɾ ə m ə b iə l
confidential	k ɑː n f ɪ d ɛ n ʃ əl
rfc	ɑːɹ ɹ ɛ f s iː
statutory	s t æ tʃ ə t ɔː ɹ i
accommodations	ɐ k ɑː m ə d eɪ ʃ ə n z
athens	æ θ ᵻ n z
northeast	n ɔːɹ θ iː s t
downloaded	d aʊ n l oʊ d ᵻ d
judges	dʒ ʌ dʒ ᵻ z
sl	ɛ s ɛ l
seo	s iː oʊ
retired	ɹ ᵻ t aɪɚ d
isp	aɪ ɛ s p iː
remarks	ɹ ᵻ m ɑːɹ k s
detected	d ɪ t ɛ k t ᵻ d
decades	d ɛ k eɪ d z
paintings	p eɪ n t ɪ ŋ z
walked	w ɔː k t
arising	ɚ ɹ aɪ z ɪ ŋ
nissan	n ɪ s ɑː n
bracelet	b ɹ eɪ s l ɪ t
ins	ɪ n z
eggs	ɛ ɡ z
juvenile	dʒ uː v ə n aɪ l
injection	ɪ n dʒ ɛ k ʃ ə n
yorkshire	j ɔːɹ k ʃ ɚ
populations	p ɑː p j ʊ l eɪ ʃ ə n z
protective	p ɹ ə t ɛ k t ɪ v
afraid	ɐ f ɹ eɪ d
acoustic	ɐ k uː s t ɪ k
railway	ɹ eɪ l w eɪ
cassette	k ɐ s ɛ t
initially	ɪ n ɪ ʃ əl i
indicator	ɪ n d ᵻ k eɪ ɾ ɚ
pointed	p ɔɪ n t ᵻ d
hb	eɪ tʃ b iː
jpg	dʒ eɪ p iː dʒ iː
causing	k ɔː z ɪ ŋ
mistake	m ɪ s t eɪ k
norton	n ɔːɹ t ə n
locked	l ɑː k t
eliminate	ᵻ l ɪ m ᵻ n eɪ t
tc	t iː s iː
fusion	f j uː ʒ ə n
mineral	m ɪ n ɚ ɹ əl
sunglasses	s ʌ ŋ ɡ l æ s ᵻ z
ruby	ɹ uː b i
steering	s t ɪ ɹ ɪ ŋ
beads	b iː d z
fortune	f ɔːɹ tʃ ʊ n
preference	p ɹ ɛ f ɹ ə n s
canvas	k æ n v ə s
threshold	θ ɹ ɛ ʃ oʊ l d
parish	p æ ɹ ɪ ʃ
claimed	k l eɪ m d
screens	s k ɹ iː n z
cemetery	s ɛ m ɪ t ɛ ɹ i
planner	p l æ n ɚ
croatia	k ɹ oʊ eɪ ʃ ə
flows	f l oʊ z
stadium	s t eɪ d iə m
venezuela	v ɛ n ɪ z w eɪ l ə
exploration	ɛ k s p l ɔː ɹ eɪ ʃ ə n
mins	m ɪ n z
fewer	f j uː ɚ
sequences	s iː k w ə n s ᵻ z
coupon	k uː p ɑː n
nurses	n ɜː s ᵻ z
ssl	ɛ s ɛ s ɛ l
stem	s t ɛ m
proxy	p ɹ ɑː k s i
astronomy	ɐ s t ɹ ɑː n ə m i
lanka	l æ ŋ k ə
opt	ɑː p t
edwards	ɛ d w ɚ d z
drew	d ɹ uː
contests	k ɑː n t ɛ s t s
flu	f l uː
translate	t ɹ æ n s l eɪ t
announces	ɐ n aʊ n s ᵻ z
mlb	ɛ m ɛ l b iː
costume	k ɔ s t uː m
tagged	t æ ɡ d
berkeley	b ɜː k l i
voted	v oʊ ɾ ᵻ d
killer	k ɪ l ɚ
bikes	b aɪ k s
gates	ɡ eɪ t s
adjusted	ɐ dʒ ʌ s t ᵻ d
rap	ɹ æ p
tune	t uː n
bishop	b ɪ ʃ ə p
pulled	p ʊ l d
corn	k ɔːɹ n
gp	dʒ iː p iː
shaped	ʃ eɪ p t
compression	k ə m p ɹ ɛ ʃ ə n
seasonal	s iː z ə n əl
establishing	ɪ s t æ b l ɪ ʃ ɪ ŋ
farmer	f ɑːɹ m ɚ
counters	k aʊ n t ɚ z
puts	p ʊ t s
constitutional	k ɑː n s t ɪ t uː ʃ ə n əl
grew	ɡ ɹ uː
perfectly	p ɜː f ɛ k t l i
tin	t ɪ n
slave	s l eɪ v
instantly	ɪ n s t ə n t l i
cultures	k ʌ l tʃ ɚ z
norfolk	n ɔːɹ f ə k
coaching	k oʊ tʃ ɪ ŋ
examined	ɛ ɡ z æ m ɪ n d
trek	t ɹ ɛ k
encoding	ɛ ŋ k oʊ d ɪ ŋ
litigation	l ɪ ɾ ɪ ɡ eɪ ʃ ə n
submissions	s ə b m ɪ ʃ ə n z
oem	oʊ iː ɛ m
heroes	h iə ɹ oʊ z
painted	p eɪ n t ᵻ d
lycos	l aɪ k oʊ z
ir	ɜː
zdnet	z iː d iː n ɛ t
broadcasting	b ɹ ɔː d k æ s t ɪ ŋ
horizontal	h ɔː ɹ ɪ z ɔ n t əl
artwork	ɑːɹ t w ɜː k
cosmetic	k ɑː z m ɛ ɾ ɪ k
resulted	ɹ ɪ z ʌ l t ᵻ d
portrait	p ɔːɹ t ɹ ɪ t
terrorist	t ɛ ɹ ɚ ɹ ɪ s t
informational	ɪ n f ɚ m eɪ ʃ ə n əl
ethical	ɛ θ ɪ k əl
carriers	k æ ɹ ɪɹ z
ecommerce	iː k ɑː m ɜː s
mobility	m oʊ b ɪ l ᵻ ɾ i
floral	f l ɔː ɹ əl
builders	b ɪ l d ɚ z
ties	t aɪ z
struggle	s t ɹ ʌ ɡ əl
schemes	s k iː m z
suffering	s ʌ f ɚ ɹ ɪ ŋ
neutral	n uː t ɹ əl
fisher	f ɪ ʃ ɚ
rat	ɹ æ t
spears	s p ɪɹ z
prospective	p ɹ ə s p ɛ k t ɪ v
bedding	b ɛ d ɪ ŋ
ultimately	ʌ l t ᵻ m ə t l i
joining	dʒ ɔɪ n ɪ ŋ
heading	h ɛ d ɪ ŋ
equally	iː k w əl i
artificial	ɑːɹ ɾ ɪ f ɪ ʃ əl
bearing	b ɛ ɹ ɪ ŋ
spectacular	s p ɛ k t æ k j ʊ l ɚ
coordination	k oʊ ɔːɹ d ᵻ n eɪ ʃ ə n
connector	k ə n ɛ k t ɚ
brad	b ɹ æ d
combo	k ɑː m b oʊ
seniors	s iː n j ɚ z
worlds	w ɜː l d z
guilty	ɡ ɪ l t i
affiliated	ɐ f ɪ l ɪ eɪ ɾ ᵻ d
activation	æ k t ɪ v eɪ ʃ ə n
naturally	n æ tʃ ɚ ɹ əl i
haven	h eɪ v ə n
tablet	t æ b l ə t
jury	dʒ ʊɹ ɹ i
dos	d ɑː s
tail	t eɪ l
subscribers	s ə b s k ɹ aɪ b ɚ z
charm	tʃ ɑːɹ m
lawn	l ɔː n
violent	v aɪə l ə n t
mitsubishi	m ɪ t s uː b iː ʃ i
underwear	ʌ n d ɚ w ɛɹ
basin	b eɪ s ə n
soup	s uː p
potentially	p ə t ɛ n ʃ əl i
ranch	ɹ æ n tʃ
constraints	k ə n s t ɹ eɪ n t s
crossing	k ɹ ɔ s ɪ ŋ
inclusive	ɪ ŋ k l uː s ɪ v
dimensional	d ᵻ m ɛ n ʃ ə n əl
cottage	k ɑː ɾ ɪ dʒ
drunk	d ɹ ʌ ŋ k
considerable	k ə n s ɪ d ɚ ɹ ə b əl
crimes	k ɹ aɪ m z
resolved	ɹ ᵻ z ɑː l v d
mozilla	m ə z ɪ l ə
byte	b aɪ t
toner	t oʊ n ɚ
nose	n oʊ z
latex	l eɪ t ɛ k s
branches	b ɹ æ n tʃ ᵻ z
anymore	ɛ n ɪ m ɔːɹ
oclc	ɑː k l k
delhi	d ɛ l i
holdings	h oʊ l d ɪ ŋ z
alien	eɪ l iə n
locator	l oʊ k eɪ ɾ ɚ
selecting	s ᵻ l ɛ k t ɪ ŋ
processors	p ɹ ɑː s ɛ s ɚ z
pantyhose	p æ n t ɪ h oʊ z
plc	p iː ɛ l s iː
broke	b ɹ oʊ k
nepal	n ɛ p ɔː l
zimbabwe	z ɪ m b ɑː b w i
difficulties	d ɪ f ɪ k ʌ l t i z
juan	h w ɑː n
complexity	k ə m p l ɛ k s ᵻ ɾ i
msg	ɛ m ɛ s dʒ iː
constantly	k ɑː n s t ə n t l i
browsing	b ɹ aʊ z ɪ ŋ
resolve	ɹ ᵻ z ɑː l v
barcelona	b ɑːɹ s ɪ l oʊ n ə
presidential	p ɹ ɛ z ɪ d ɛ n ʃ əl
documentary	d ɑː k j uː m ɛ n t ɚ ɹ i
cod	k ɑː d
territories	t ɛ ɹ ɪ t ɔː ɹ i z
melissa	m ə l ɪ s ə
moscow	m ɑː s k oʊ
thesis	θ iː s ɪ s
thru	θ ɹ uː
jews	dʒ uː z
nylon	n aɪ l ɑː n
palestinian	p æ l ə s t ɪ n iː ə n
discs	d ɪ s k s
rocky	ɹ ɑː k i
bargains	b ɑːɹ ɡ ɪ n z
frequent	f ɹ iː k w ə n t
trim	t ɹ ɪ m
nigeria	n aɪ dʒ iə ɹ ɪ ə
ceiling	s iː l ɪ ŋ
pixels	p ɪ k s əl z
ensuring	ɛ n ʃ ʊɹ ɹ ɪ ŋ
hispanic	h ɪ s p æ n ɪ k
cv	s iː v iː
cb	s iː b iː
legislature	l ɛ dʒ ɪ s l ə tʃ ɚ
hospitality	h ɑː s p ɪ t æ l ᵻ ɾ i
gen	dʒ ɛ n
anybody	ɛ n ɪ b ɑː d i
procurement	p ɹ ə k j ʊɹ m ə n t
diamonds	d aɪə m ə n d z
espn	iː ɛ s p iː ɛ n
fleet	f l iː t
untitled	ʌ n t aɪ ɾ əl d
bunch	b ʌ n tʃ
totals	t oʊ ɾ əl z
marriott	m æ ɹ ɪ ə t
singing	s ɪ ŋ ɪ ŋ
theoretical	θ iə ɹ ɛ ɾ ɪ k əl
afford	ɐ f ɔːɹ d
exercises	ɛ k s ɚ s aɪ z ᵻ z
starring	s t ɑːɹ ɹ ɪ ŋ
referral	ɹ ᵻ f ɜː ɹ əl
nhl	ɛ n eɪ tʃ ɛ l
surveillance	s ɚ v eɪ l ə n s
optimal	ɑː p t ɪ m əl
quit	k w ɪ t
distinct	d ɪ s t ɪ ŋ k t
protocols	p ɹ oʊ ɾ ə k ɑː l z
lung	l ʌ ŋ
highlight	h aɪ l aɪ t
substitute	s ʌ b s t ɪ t uː t
inclusion	ɪ ŋ k l uː ʒ ə n
hopefully	h oʊ p f ə l i
brilliant	b ɹ ɪ l iə n t
turner	t ɜː n ɚ
sucking	s ʌ k ɪ ŋ
cents	s ɛ n t s
reuters	ɹ ɔɪ ɾ ɚ z
ti	t aɪ
fc	ɛ f s iː
gel	dʒ ɛ l
todd	t ɑː d
spoken	s p oʊ k ə n
omega	oʊ m eɪ ɡ ə
evaluated	ɪ v æ l j uː eɪ ɾ ᵻ d
stayed	s t eɪ d
civic	s ɪ v ɪ k
assignments	ɐ s aɪ n m ə n t s
fw	ɛ f d ʌ b əl j uː
manuals	m æ n j uː əl z
doug	d ʌ ɡ
sees	s iː z
termination	t ɜː m ᵻ n eɪ ʃ ə n
watched	w ɑː tʃ t
saver	s eɪ v ɚ
thereof	ð ɛ ɹ ɑː v
grill	ɡ ɹ ɪ l
households	h aʊ s h oʊ l d z
gs	dʒ iː ɛ s
redeem	ɹ ᵻ d iː m
rogers	ɹ ɑː dʒ ɚ z
grain	ɡ ɹ eɪ n
aaa	eɪ eɪ eɪ
authentic	ɔː θ ɛ n t ɪ k
regime	ɹ eɪ ʒ iː m
wanna	w ɔ n ə
wishes	w ɪ ʃ ᵻ z
bull	b ʊ l
montgomery	m ɑː n t ɡ ɑː m ɚ ɹ i
architectural	ɑːɹ k ɪ t ɛ k tʃ ɚ ɹ əl
louisville	l uː i z v ɪ l
depend	d ᵻ p ɛ n d
differ	d ɪ f ɚ
macintosh	m æ k ɪ n t ɑː ʃ
movements	m uː v m ə n t s
ranging	ɹ eɪ n dʒ ɪ ŋ
monica	m ɑː n ɪ k ə
repairs	ɹ ᵻ p ɛɹ z
breath	b ɹ ɛ θ
amenities	ɐ m ɛ n ᵻ ɾ i z
virtually	v ɜː tʃ uː əl i
cole	k oʊ l
mart	m ɑːɹ t
candle	k æ n d əl
hanging	h æ ŋ ɪ ŋ
colored	k ʌ l ɚ d
authorization	ɔː θ ɚ ɹ ᵻ z eɪ ʃ ə n
tale	t eɪ l
verified	v ɛ ɹ ᵻ f aɪ d
lynn	l ɪ n
formerly	f ɔːɹ m ɚ l i
projector	p ɹ ə dʒ ɛ k t ɚ
bp	b iː p iː
situated	s ɪ tʃ uː eɪ ɾ ᵻ d
comparative	k ə m p æ ɹ ə t ɪ v
std	ɛ s t iː d iː
seeks	s iː k s
herbal	h ɜː b əl
loving	l ʌ v ɪ ŋ
strictly	s t ɹ ɪ k t l i
routing	ɹ aʊ ɾ ɪ ŋ
docs	d ɑː k s
stanley	s t æ n l i
psychological	s aɪ k ə l ɑː dʒ ɪ k əl
surprised	s ɚ p ɹ aɪ z d
retailer	ɹ iː t eɪ l ɚ
vitamins	v aɪ ɾ ə m ɪ n z
elegant	ɛ l ɪ ɡ ə n t
gains	ɡ eɪ n z
renewal	ɹ ᵻ n j uː əl
vid	v ɪ d
genealogy	dʒ iː n ɪ æ l ə dʒ i
opposed	ə p oʊ z d
